utc_time,total objective
1979,5096647756.356887
1980,5212103720.459452
1981,5203025948.408029
1982,5533440648.699981
1983,5745111936.363995
1984,4884256878.944025
1985,5332956096.688161
1986,5126973084.771061
1987,5154792295.110546
1988,5253296913.3189
1989,5556477673.648229
1990,5426569332.757993
1991,5245000728.524131
1992,5449392842.224283
1993,5827165597.523647
1994,5607124813.132354
1995,4657780183.349694
1996,4772263391.481265
1997,5403240425.916316
1998,4953712244.982957
1999,4716870474.597444
2000,4867340404.645052
2001,4701283307.546149
2002,4746686515.160398
2003,5417117931.630579
2004,5605549217.655154
2005,4933149989.069332
2006,5404542897.247272
2007,5309152538.685109
2008,5227958042.259373
2009,4979950477.88996
2010,5023226891.325976
2011,7546889662.937898
2012,7054545622.442259
2013,6022884031.199075
2014,6568698573.15405
2015,7658454935.372924
2016,7354288361.8832245
2017,7231730024.138781
