utc_time,total objective
1979,4940036463.912292
1980,5055478164.310047
1981,5047085404.930471
1982,5376815092.550532
1983,5588486380.214561
1984,4728010787.912905
1985,5176477959.9307575
1986,4970347528.62164
1987,4998225196.354788
1988,5096671357.169516
1989,5399852117.4988
1990,5269943776.608525
1991,5088375172.374719
1992,5292767286.074853
1993,5670697891.39155
1994,5450961103.371226
1995,4502321260.129915
1996,4615637835.331848
1997,5246614869.76692
1998,4797147361.571759
1999,4560244918.448111
2000,4711430794.143948
2001,4544657751.39671
2002,4590898299.638881
2003,5260766438.157817
2004,5448923661.505754
2005,4776751651.613937
2006,5247917341.09785
2007,5152526982.535715
2008,5071332486.110008
2009,4823937497.539684
2010,4866601335.176611
2011,7390264106.788519
2012,6897920066.292812
2013,5866258515.164304
2014,6412073017.004631
2015,7501829379.22352
2016,7197662805.733757
2017,7075200638.435155
