utc_time,total objective
1979,4489611326.248699
1980,4585363040.45816
1981,4544031478.770718
1982,4890380442.972748
1983,5100891332.265262
1984,4294031442.3692136
1985,4716573431.970918
1986,4495068695.659158
1987,4521035906.533672
1988,4606536209.251095
1989,4939968575.427524
1990,4783662481.0191145
1991,4638892031.608795
1992,4808923878.066027
1993,5076276492.361347
1994,4904909574.768571
1995,4085661689.587918
1996,4176900885.8935566
1997,4783691033.204216
1998,4345155114.761509
1999,4099916928.8955765
2000,4264352490.179832
2001,4135227173.349718
2002,4135518979.2952113
2003,4777442687.73158
2004,4930285892.03426
2005,4320700565.045488
2006,4802658597.430707
2007,4812704624.021745
2008,4625073462.334132
2009,4355058075.627413
2010,4376880617.042023
2011,6743898330.915595
2012,6280145933.08579
2013,5339136112.376524
2014,5845461416.953931
2015,6807494025.428069
2016,6558447419.867992
2017,6481274677.961867
